Intensity_equatorial     Intensity_polar          Wavelength 

2.698562499999999849e-18  3.070874999999999847e-18  1.220000000000000000e+03
1.398375000000000080e-17  3.255187500000000152e-17  1.660000000000000000e+03
5.151812500000000181e-17  6.564374999999999554e-17  2.100000000000000000e+03
9.987500000000000820e-17  1.078874999999999954e-16  2.540000000000000000e+03
1.177250000000000049e-16  1.742000000000000006e-16  2.980000000000000000e+03
1.443437499999999851e-16  1.976687500000000183e-16  3.420000000000000000e+03
1.455187499999999746e-16  2.971312499999999804e-16  3.860000000000000000e+03
2.118812500000000003e-16  3.730874999999999709e-16  4.300000000000000000e+03
2.722562499999999953e-16  4.396625000000000223e-16  4.740000000000000000e+03
3.110687500000000220e-16  4.825625000000000390e-16  5.180000000000000000e+03
2.738437499999999940e-16  5.109875000000000029e-16  5.620000000000000000e+03
2.864374999999999829e-16  5.399312499999999519e-16  6.060000000000000000e+03
2.408250000000000232e-16  4.139187499999999577e-16  6.500000000000000000e+03
2.303375000000000179e-16  3.252625000000000271e-16  6.940000000000000000e+03
2.052437499999999738e-16  3.121937499999999663e-16  7.380000000000000000e+03
1.628437499999999899e-16  2.561312500000000044e-16  7.820000000000000000e+03
1.573499999999999832e-16  2.362499999999999932e-16  8.260000000000000000e+03
1.045124999999999899e-16  1.777250000000000184e-16  8.700000000000000000e+03
9.646249999999999959e-17  1.488749999999999786e-16  9.140000000000000000e+03
8.986875000000000954e-17  1.036437500000000090e-16  9.580000000000000000e+03
5.611000000000000111e-17  1.189374999999999975e-16  1.002000000000000000e+04
3.263499999999999930e-17  1.115062499999999963e-16  1.046000000000000000e+04
3.991687499999999892e-17  1.155937500000000109e-16  1.090000000000000000e+04
3.594375000000000105e-17  8.970624999999999211e-17  1.134000000000000000e+04
2.359750000000000097e-17  7.326249999999999978e-17  1.178000000000000000e+04
4.453187499999999478e-17  5.245812500000000451e-17  1.222000000000000000e+04
2.156812500000000016e-17  4.724812499999999602e-17  1.266000000000000000e+04
2.754749999999999921e-17  4.461062500000000370e-17  1.310000000000000000e+04
3.228312500000000208e-17  3.807249999999999521e-17  1.354000000000000000e+04
3.137750000000000117e-18  3.878000000000000473e-17  1.398000000000000000e+04
1.095062500000000100e-17  3.896562500000000023e-17  1.442000000000000000e+04
7.741250000000000312e-18  4.914249999999999562e-17  1.486000000000000000e+04
1.139874999999999953e-17  2.910812499999999856e-17  1.530000000000000000e+04
8.126874999999999368e-18  1.633375000000000139e-17  1.574000000000000000e+04
1.593125000000000064e-17  2.794062499999999611e-17  1.618000000000000000e+04
1.008875000000000111e-17  2.358187499999999763e-17  1.662000000000000000e+04
4.378874999999999743e-18  1.173874999999999926e-17  1.706000000000000000e+04
5.559875000000000624e-18  2.619000000000000008e-17  1.750000000000000000e+04
1.845500000000000233e-17  1.806250000000000076e-17  1.794000000000000000e+04
2.408812500000000101e-19  2.652562500000000171e-17  1.838000000000000000e+04
7.102499999999998992e-18  7.661874999999999146e-18  1.882000000000000000e+04
3.861562500000000132e-18  1.278249999999999958e-17  1.926000000000000000e+04
4.359750000000000240e-18  1.508499999999999947e-17  1.970000000000000000e+04
3.634062500000000380e-18  1.156187499999999996e-17  2.014000000000000000e+04
2.322125000000000268e-18  4.190312500000000020e-18  2.058000000000000000e+04
6.556875000000000018e-18  7.391249999999999863e-18  2.102000000000000000e+04
7.054374999999999874e-18  2.094500000000000064e-17  2.146000000000000000e+04
5.098187500000000283e-18  1.061312499999999952e-17  2.190000000000000000e+04
1.702875000000000077e-18  2.615499999999999988e-17  2.234000000000000000e+04
7.165624999999999957e-18  1.469499999999999769e-17  2.278000000000000000e+04
