Intensity_equatorial     Intensity_polar          Wavelength 

0.000000000000000000e+00  0.000000000000000000e+00  1.220000000000000000e+03
0.000000000000000000e+00  0.000000000000000000e+00  1.660000000000000000e+03
3.593937500000000083e-19  2.207937500000000293e-19  2.100000000000000000e+03
1.998562500000000204e-19  1.017374999999999950e-18  2.540000000000000000e+03
2.311500000000000373e-18  4.541187500000000088e-18  2.980000000000000000e+03
6.669374999999999997e-18  8.238749999999999398e-18  3.420000000000000000e+03
1.261374999999999961e-17  1.843187499999999962e-17  3.860000000000000000e+03
2.087562499999999865e-17  2.685500000000000078e-17  4.300000000000000000e+03
2.333875000000000071e-17  3.305187499999999732e-17  4.740000000000000000e+03
2.804874999999999799e-17  4.153062499999999852e-17  5.180000000000000000e+03
3.260562500000000017e-17  4.518874999999999769e-17  5.620000000000000000e+03
3.986500000000000165e-17  5.386562499999999952e-17  6.060000000000000000e+03
3.499687499999999737e-17  5.295812500000000031e-17  6.500000000000000000e+03
3.665562499999999942e-17  5.465125000000000107e-17  6.940000000000000000e+03
3.010687499999999951e-17  5.610687499999999675e-17  7.380000000000000000e+03
2.508687499999999694e-17  6.018124999999999553e-17  7.820000000000000000e+03
2.101374999999999806e-17  5.565437499999999087e-17  8.260000000000000000e+03
1.637062499999999989e-17  5.076875000000000035e-17  8.700000000000000000e+03
1.474000000000000015e-17  4.742000000000000190e-17  9.140000000000000000e+03
1.123687500000000054e-17  4.264437500000000232e-17  9.580000000000000000e+03
9.275000000000000336e-18  3.749875000000000240e-17  1.002000000000000000e+04
8.364999999999999786e-18  4.032687500000000213e-17  1.046000000000000000e+04
7.535000000000000350e-18  3.888500000000000225e-17  1.090000000000000000e+04
5.750500000000000332e-18  3.787749999999999894e-17  1.134000000000000000e+04
8.501874999999999298e-18  4.176437500000000084e-17  1.178000000000000000e+04
6.680624999999999841e-18  3.014000000000000140e-17  1.222000000000000000e+04
5.965062499999999763e-18  3.085124999999999521e-17  1.266000000000000000e+04
4.497124999999999865e-18  2.842124999999999812e-17  1.310000000000000000e+04
4.778375000000000584e-18  2.956437500000000105e-17  1.354000000000000000e+04
4.927187499999999421e-18  2.718562499999999974e-17  1.398000000000000000e+04
4.919687500000000039e-18  2.883875000000000072e-17  1.442000000000000000e+04
4.768062500000000663e-18  2.401500000000000048e-17  1.486000000000000000e+04
4.358062499999999763e-18  2.336499999999999855e-17  1.530000000000000000e+04
4.561437499999999653e-18  2.280124999999999875e-17  1.574000000000000000e+04
4.817374999999999375e-18  2.020624999999999985e-17  1.618000000000000000e+04
5.175375000000000089e-18  1.813312499999999957e-17  1.662000000000000000e+04
3.383562500000000056e-18  1.813562500000000244e-17  1.706000000000000000e+04
3.225874999999999793e-18  1.919999999999999952e-17  1.750000000000000000e+04
3.079562499999999979e-18  1.577312499999999980e-17  1.794000000000000000e+04
2.831312500000000164e-18  1.662187500000000077e-17  1.838000000000000000e+04
3.377812499999999914e-18  1.577312499999999980e-17  1.882000000000000000e+04
2.694937499999999994e-18  1.782125000000000214e-17  1.926000000000000000e+04
3.231687500000000238e-18  1.451312500000000188e-17  1.970000000000000000e+04
3.109625000000000122e-18  1.378625000000000012e-17  2.014000000000000000e+04
3.220062500000000117e-18  1.384312500000000005e-17  2.058000000000000000e+04
3.426250000000000161e-18  1.618437499999999983e-17  2.102000000000000000e+04
1.460812500000000022e-18  1.102249999999999970e-17  2.146000000000000000e+04
2.866000000000000003e-18  1.063937499999999890e-17  2.190000000000000000e+04
1.758499999999999926e-18  1.259500000000000116e-17  2.234000000000000000e+04
1.619187499999999959e-18  1.079812499999999969e-17  2.278000000000000000e+04
