Intensity_equatorial     Intensity_polar          Wavelength 

0.000000000000000000e+00  0.000000000000000000e+00  1.220000000000000000e+03
0.000000000000000000e+00  0.000000000000000000e+00  1.660000000000000000e+03
0.000000000000000000e+00  0.000000000000000000e+00  2.100000000000000000e+03
5.244437499999999746e-20  1.396249999999999889e-19  2.540000000000000000e+03
9.239375000000000381e-20  3.559124999999999830e-19  2.980000000000000000e+03
9.688749999999999772e-19  1.237750000000000020e-18  3.420000000000000000e+03
1.819562500000000135e-18  2.948187500000000168e-18  3.860000000000000000e+03
3.222687499999999747e-18  4.920437499999999823e-18  4.300000000000000000e+03
5.909062499999999445e-18  7.654999999999999712e-18  4.740000000000000000e+03
9.530625000000000854e-18  1.031312499999999958e-17  5.180000000000000000e+03
1.056562500000000035e-17  1.227312499999999993e-17  5.620000000000000000e+03
1.059437499999999953e-17  1.458062499999999940e-17  6.060000000000000000e+03
1.280499999999999927e-17  1.646312500000000152e-17  6.500000000000000000e+03
1.092374999999999859e-17  1.675687500000000198e-17  6.940000000000000000e+03
1.122999999999999956e-17  1.663499999999999815e-17  7.380000000000000000e+03
9.748750000000001378e-18  1.842687500000000003e-17  7.820000000000000000e+03
9.608750000000000582e-18  1.662187500000000077e-17  8.260000000000000000e+03
8.628750000000001175e-18  1.794749999999999791e-17  8.700000000000000000e+03
6.790625000000000026e-18  1.828562499999999933e-17  9.140000000000000000e+03
5.688749999999999871e-18  1.928312500000000038e-17  9.580000000000000000e+03
5.357250000000000518e-18  1.969249999999999902e-17  1.002000000000000000e+04
5.858937499999999875e-18  1.830562499999999769e-17  1.046000000000000000e+04
4.171374999999999885e-18  1.937062499999999934e-17  1.090000000000000000e+04
4.487312500000000057e-18  1.720500000000000051e-17  1.134000000000000000e+04
4.745375000000000066e-18  1.867437499999999813e-17  1.178000000000000000e+04
4.833062500000000702e-18  1.775749999999999815e-17  1.222000000000000000e+04
4.802687500000000584e-18  2.184500000000000047e-17  1.266000000000000000e+04
4.993374999999999825e-18  1.722187500000000066e-17  1.310000000000000000e+04
5.068812500000000391e-18  1.830312499999999789e-17  1.354000000000000000e+04
4.921500000000000352e-18  1.987062499999999822e-17  1.398000000000000000e+04
4.745499999999999902e-18  1.754999999999999983e-17  1.442000000000000000e+04
4.082062499999999845e-18  1.685062500000000042e-17  1.486000000000000000e+04
3.596437499999999781e-18  1.822749999999999950e-17  1.530000000000000000e+04
4.174374999999999792e-18  1.795999999999999996e-17  1.574000000000000000e+04
4.114062500000000137e-18  1.439875000000000052e-17  1.618000000000000000e+04
4.475250000000000126e-18  1.735187499999999920e-17  1.662000000000000000e+04
3.581624999999999614e-18  1.512937500000000043e-17  1.706000000000000000e+04
3.338437499999999690e-18  1.599312500000000017e-17  1.750000000000000000e+04
3.404562500000000176e-18  1.360750000000000097e-17  1.794000000000000000e+04
2.949312500000000229e-18  1.340437500000000075e-17  1.838000000000000000e+04
2.881874999999999928e-18  1.247124999999999903e-17  1.882000000000000000e+04
3.812375000000000485e-18  1.297562500000000063e-17  1.926000000000000000e+04
3.261000000000000212e-18  1.244125000000000150e-17  1.970000000000000000e+04
2.397312500000000393e-18  1.285187500000000003e-17  2.014000000000000000e+04
2.798625000000000005e-18  1.060437500000000024e-17  2.058000000000000000e+04
2.902062500000000346e-18  1.131000000000000068e-17  2.102000000000000000e+04
2.559812500000000106e-18  9.247500000000001060e-18  2.146000000000000000e+04
2.774749999999999815e-18  9.396874999999999543e-18  2.190000000000000000e+04
2.767187500000000129e-18  9.709999999999999947e-18  2.234000000000000000e+04
2.572937500000000181e-18  8.638125000000000403e-18  2.278000000000000000e+04
