#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 5.5 days
    9.2875000000E+02    1.7151091797E+04    2.1134196535E-04    1.7031414062E+04    1.8028015625E+04    1.1967656708E+02    7.2677977065E-26    2.8011914255E-16    1.5385769612E-01
    9.4100000000E+02    1.6943978516E+04    2.1134196535E-04    1.6827253906E+04    5.1231208801E+01    1.1672523499E+02    1.8790123188E-25    2.8011914255E-16    1.5385769612E-01
    9.5325000000E+02    1.7179349609E+04    2.1134196535E-04    1.6626660156E+04    3.3509333496E+03    5.5268865967E+02    4.8590173419E-25    2.8011914255E-16    1.5385769612E-01
    9.6550000000E+02    1.6692941406E+04    2.1134196535E-04    1.6429621094E+04    7.5157409668E+01    2.6331976318E+02    1.1747872401E-24    2.8011914255E-16    1.5385769612E-01
    9.7775000000E+02    1.6451056641E+04    2.1134196535E-04    1.6236135742E+04    8.9797790527E+01    2.1492111206E+02    2.8130200067E-24    2.8011914255E-16    1.5385769612E-01
    9.9000000000E+02    1.6137248047E+04    2.1134196535E-04    1.6046214844E+04    6.0385482788E+01    9.1032875061E+01    6.5526857310E-24    2.8011914255E-16    1.5385769612E-01
    1.0022500000E+03    1.5981557617E+04    2.1134196535E-04    1.5859880859E+04    2.7185308456E+01    1.2167609406E+02    1.5074715380E-23    2.8011914255E-16    1.5385769612E-01
    1.0145000000E+03    1.5877171875E+04    2.1134196535E-04    1.5677169922E+04    8.1675756836E+02    2.0000143433E+02    3.4058488981E-23    2.8011914255E-16    1.5385769612E-01
    1.0267500000E+03    1.5917721680E+04    2.1134196535E-04    1.5498132812E+04    5.7992871094E+03    4.1958819580E+02    7.6080484625E-23    2.8011914255E-16    1.5385769612E-01
    1.0390000000E+03    1.5957852539E+04    2.1134196535E-04    1.5322837891E+04    2.3170183105E+03    6.3501434326E+02    1.6662669663E-22    2.8011914255E-16    1.5385769612E-01
    1.0512500000E+03    1.5680372070E+04    2.1134196535E-04    1.5151367188E+04    2.9904675293E+03    5.2900518799E+02    3.5095114057E-22    2.8011914255E-16    1.5385769612E-01
    1.0635000000E+03    1.5538927734E+04    2.1134196535E-04    1.4983823242E+04    4.0231113281E+03    5.5510449219E+02    7.3192130374E-22    2.8011914255E-16    1.5385769612E-01
    1.0757500000E+03    1.5345245117E+04    2.1134196535E-04    1.4820332031E+04    2.1367517578E+04    5.2491265869E+02    1.4944458668E-21    2.8011914255E-16    1.5385769612E-01
    1.0880000000E+03    1.5212551758E+04    2.1134196535E-04    1.4661036133E+04    1.9027901611E+03    5.5151629639E+02    3.0112437854E-21    2.8011914255E-16    1.5385769612E-01
    1.1002500000E+03    1.4827915039E+04    2.1134196535E-04    1.4506109375E+04    6.5715795898E+02    3.2180648804E+02    5.8679776641E-21    2.8011914255E-16    1.5385769612E-01
    1.1125000000E+03    1.4754030273E+04    2.1134196535E-04    1.4355750977E+04    3.9672114258E+03    3.9827914429E+02    1.1488197771E-20    2.8011914255E-16    1.5385769612E-01
    1.1247500000E+03    1.4466534180E+04    2.1134196535E-04    1.4210193359E+04    4.3993176270E+02    2.5633956909E+02    2.1824162029E-20    2.8011914255E-16    1.5385769612E-01
    1.1370000000E+03    1.4546013672E+04    2.1134196535E-04    1.4069705078E+04    6.2240371094E+03    4.7630895996E+02    4.1885976990E-20    2.8011914255E-16    1.5385769612E-01
    1.1492500000E+03    1.4685583008E+04    2.1134196535E-04    1.3934594727E+04    6.0384956055E+03    7.5098693848E+02    7.9560602997E-20    2.8011914255E-16    1.5385769612E-01
    1.1615000000E+03    1.4857191406E+04    2.1134196535E-04    1.3805220703E+04    6.8866835938E+03    1.0519698486E+03    1.4933399206E-19    2.8011914255E-16    1.5385769612E-01
    1.1737500000E+03    1.4513952148E+04    2.1134196535E-04    1.3681990234E+04    2.2061818848E+03    8.3196166992E+02    2.6702323336E-19    2.8011914255E-16    1.5385769612E-01
    1.1860000000E+03    1.4547137695E+04    2.1134196535E-04    1.3565374023E+04    4.3068725586E+03    9.8176379395E+02    4.8349740779E-19    2.8011914255E-16    1.5385769612E-01
    1.1982500000E+03    1.4219473633E+04    2.1134196535E-04    1.3455913086E+04    2.1930056152E+03    7.6356018066E+02    8.4302980668E-19    2.8011914255E-16    1.5385769612E-01
    1.2105000000E+03    1.4226926758E+04    2.1134196535E-04    1.3354230469E+04    6.7310805664E+03    8.7269592285E+02    1.4861869280E-18    2.8011914255E-16    1.5385769612E-01
    1.2227500000E+03    1.4065676758E+04    2.1134196535E-04    1.3261041992E+04    5.9233427734E+03    8.0463354492E+02    2.5582884821E-18    2.8011914255E-16    1.5385769612E-01
    1.2350000000E+03    1.3533088867E+04    2.1134196535E-04    1.3177179688E+04    1.5758922119E+03    3.5590896606E+02    4.2363629074E-18    2.8011914255E-16    1.5385769612E-01
    1.2472500000E+03    1.3646157227E+04    2.1134196535E-04    1.3103597656E+04    5.9871767578E+03    5.4255975342E+02    7.2701838751E-18    2.8011914255E-16    1.5385769612E-01
    1.2595000000E+03    1.3653999023E+04    2.1134196535E-04    1.3041411133E+04    3.2935830078E+03    6.1258734131E+02    1.2246443710E-17    2.8011914255E-16    1.5385769612E-01
    1.2717500000E+03    1.3576043945E+04    2.1134196535E-04    1.2991912109E+04    3.9107731934E+03    5.8413098145E+02    2.0284013793E-17    2.8011914255E-16    1.5385769612E-01
    1.2840000000E+03    1.3380838867E+04    2.1134196535E-04    1.2956610352E+04    8.0679052734E+02    4.2422824097E+02    3.2964308772E-17    2.8011914255E-16    1.5385769612E-01
    1.2962500000E+03    1.3945833008E+04    2.1134196535E-04    1.2937273438E+04    8.2799667969E+03    1.0085600586E+03    5.6087107166E-17    2.8011914255E-16    1.5385769612E-01
    1.3085000000E+03    1.3808824219E+04    2.1134196535E-04    1.2935987305E+04    7.5380786133E+03    8.7283624268E+02    8.9791448109E-17    2.8011914255E-16    1.5385769612E-01
    1.3207500000E+03    1.4100885742E+04    2.1134196535E-04    1.2955209961E+04    1.4154647461E+04    1.1456755371E+03    1.4686063704E-16    2.8011914255E-16    1.5385769612E-01
    1.3330000000E+03    1.3900263672E+04    2.1134196535E-04    1.2997866211E+04    6.4887519531E+03    9.0239672852E+02    2.2977272178E-16    2.8011914255E-16    1.5385769612E-01
    1.3452500000E+03    1.4081046875E+04    2.1134196535E-04    1.3067450195E+04    2.1603029785E+03    1.0135971680E+03    3.6616183460E-16    2.8011914255E-16    1.5385769612E-01
    1.3575000000E+03    1.4180094727E+04    2.1134196535E-04    1.3168164062E+04    5.8798925781E+03    1.0119299316E+03    5.7508571388E-16    2.8011914255E-16    1.5385769612E-01
    1.3697500000E+03    1.4545795898E+04    2.1134196535E-04    1.3305088867E+04    3.9093742676E+03    1.2407071533E+03    9.1235030480E-16    2.8011914255E-16    1.5385769612E-01
    1.3820000000E+03    1.4428112305E+04    2.1134196535E-04    1.3484419922E+04    1.8348472656E+04    9.4369219971E+02    1.3882207202E-15    2.8011914255E-16    1.5385769612E-01
    1.3942500000E+03    1.4556529297E+04    2.1134196535E-04    1.3713775391E+04    1.1443765869E+03    8.4275457764E+02    2.1314804847E-15    2.8011914255E-16    1.5385769612E-01
    1.4065000000E+03    1.5021927734E+04    2.1134196535E-04    1.4002594727E+04    4.8988095703E+03    1.0193324585E+03    3.3217379585E-15    2.8011914255E-16    1.5385769612E-01
    1.4187500000E+03    1.4758386719E+04    2.1134196535E-04    1.4362697266E+04    6.3668237305E+02    3.9568893433E+02    4.8913107620E-15    2.8011914255E-16    1.5385769612E-01
    1.4310000000E+03    1.5708637695E+04    2.1134196535E-04    1.4809045898E+04    3.6145546875E+03    8.9959173584E+02    7.7461832182E-15    2.8011914255E-16    1.5385769612E-01
    1.4432500000E+03    1.6035402344E+04    2.1134196535E-04    1.5360797852E+04    4.9661269531E+03    6.7460363770E+02    1.1681295850E-14    2.8011914255E-16    1.5385769612E-01
    1.4555000000E+03    1.6398437500E+04    2.1134196535E-04    1.6042834961E+04    4.9429995117E+03    3.5560125732E+02    1.7524859263E-14    2.8011914255E-16    1.5385769612E-01
    1.4677500000E+03    1.7920322266E+04    2.1134196535E-04    1.6887939453E+04    6.5658085938E+03    1.0323829346E+03    2.7905840955E-14    2.8011914255E-16    1.5385769612E-01
    1.4800000000E+03    1.8639429688E+04    2.1134196535E-04    1.7940070312E+04    3.0596384277E+03    6.9935919189E+02    4.2015548077E-14    2.8011914255E-16    1.5385769612E-01
    1.4922500000E+03    1.9752857422E+04    2.1134196535E-04    1.9259308594E+04    7.5143792725E+02    4.9354742432E+02    6.4038130267E-14    2.8011914255E-16    1.5385769612E-01
    1.5045000000E+03    2.1449417969E+04    2.1134196535E-04    2.0929650391E+04    6.3277764893E+02    5.1976635742E+02    9.9386746391E-14    2.8011914255E-16    1.5385769612E-01
    1.5167500000E+03    2.3539572266E+04    2.1134196535E-04    2.3071599609E+04    9.3180932617E+02    4.6797195435E+02    1.5493739646E-13    2.8011914255E-16    1.5385769612E-01
    1.5290000000E+03    2.6297632812E+04    2.1134196535E-04    2.5863378906E+04    3.8337094727E+03    4.3425411987E+02    2.4441332205E-13    2.8011914255E-16    1.5385769612E-01
    1.5412500000E+03    2.9748007812E+04    2.1134196535E-04    2.9578357422E+04    3.2491757202E+02    1.6964924622E+02    3.8813757438E-13    2.8011914255E-16    1.5385769612E-01
    1.5535000000E+03    3.5011410156E+04    2.1134196535E-04    3.4654707031E+04    3.5636118164E+03    3.5670266724E+02    6.3765719050E-13    2.8011914255E-16    1.5385769612E-01
    1.5657500000E+03    4.2426218750E+04    2.1134196535E-04    4.1834144531E+04    1.1583964062E+05    5.9207397461E+02    1.0726336269E-12    2.8011914255E-16    1.5385769612E-01
    1.5780000000E+03    5.2518426514E+02    2.1134196535E-04    3.7482305671E-14    4.8378964844E+04    5.2518408203E+02    1.8332218881E-14    2.8011914255E-16    1.5385769612E-01
    1.5902500000E+03    6.0791333008E+02    2.1134196535E-04    3.8386160976E-14    2.1269205078E+04    6.0791314697E+02    2.9142978314E-14    2.8011914255E-16    1.5385769612E-01
    1.6025000000E+03    1.0034622192E+03    2.1134196535E-04    3.9303595914E-14    9.6159277344E+03    1.0034620361E+03    6.5726233050E-14    2.8011914255E-16    1.5385769612E-01
    1.6147500000E+03    1.0359979248E+03    2.1134196535E-04    4.0234674858E-14    5.7287906250E+04    1.0359978027E+03    9.2246671998E-14    2.8011914255E-16    1.5385769612E-01
    1.6270000000E+03    1.0849235840E+03    2.1134196535E-04    4.1179462184E-14    3.7069476562E+04    1.0849233398E+03    1.3067856259E-13    2.8011914255E-16    1.5385769612E-01
    1.6392500000E+03    8.6146887207E+02    2.1134196535E-04    4.1709593001E-14    2.0317646484E+04    8.6146862793E+02    1.3969042394E-13    2.8011914255E-16    1.5385769612E-01
