#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 1.5 days
    5.1225000000E+02    7.9141953125E+03    6.7802143918E-03    7.8829418945E+03    1.6295999756E+03    3.1246770859E+01    8.8899476395E-05    1.2512462176E-14    1.5385769612E-01
    5.2450000000E+02    7.1114580078E+03    6.7802143918E-03    7.0913740234E+03    1.6270339966E+02    2.0076932907E+01    1.6565585975E-04    1.2512462176E-14    1.5385769612E-01
    5.3675000000E+02    6.3530419922E+03    6.7802143918E-03    6.3411953125E+03    2.8756570816E+00    1.1839497566E+01    2.9592085048E-04    1.2512462176E-14    1.5385769612E-01
    5.4900000000E+02    5.6660239258E+03    6.7802143918E-03    5.6363588867E+03    1.9387165833E+02    2.9658130646E+01    5.1015830832E-04    1.2512462176E-14    1.5385769612E-01
    5.6125000000E+02    5.0206049805E+03    6.7802143918E-03    4.9796630859E+03    4.0168228149E+01    4.0934951782E+01    8.4664474707E-04    1.2512462176E-14    1.5385769612E-01
    5.7350000000E+02    4.4029248047E+03    6.7802143918E-03    4.3728662109E+03    2.0665058136E+01    3.0051525116E+01    1.3502143556E-03    1.2512462176E-14    1.5385769612E-01
    5.8575000000E+02    3.8871523438E+03    6.7802143918E-03    3.8168115234E+03    5.5437301636E+01    7.0334045410E+01    2.1088246722E-03    1.2512462176E-14    1.5385769612E-01
    5.9800000000E+02    3.3616599121E+03    6.7802143918E-03    3.3115517578E+03    9.3235681152E+02    5.0101203918E+01    3.1441622414E-03    1.2512462176E-14    1.5385769612E-01
    6.1025000000E+02    2.9359738770E+03    6.7802143918E-03    2.8564738770E+03    3.0500180664E+03    7.9493469238E+01    4.6210577711E-03    1.2512462176E-14    1.5385769612E-01
    6.2250000000E+02    2.5433449707E+03    6.7802143918E-03    2.4504174805E+03    6.0053476562E+03    9.2920761108E+01    6.5852552652E-03    1.2512462176E-14    1.5385769612E-01
    6.3475000000E+02    2.1916955566E+03    6.7802143918E-03    2.0917844238E+03    4.0491594238E+03    9.9904251099E+01    9.1381724924E-03    1.2512462176E-14    1.5385769612E-01
    6.4700000000E+02    1.8600323486E+03    6.7802143918E-03    1.7786384277E+03    4.6924243164E+03    8.1387229919E+01    1.2240310200E-02    1.2512462176E-14    1.5385769612E-01
    6.5925000000E+02    1.5689846191E+03    6.7802143918E-03    1.5087922363E+03    6.0729453125E+03    6.0185531616E+01    1.5990797430E-02    1.2512462176E-14    1.5385769612E-01
    6.7150000000E+02    1.3695073242E+03    6.7802143918E-03    1.2798854980E+03    6.5646376953E+03    8.9615051270E+01    2.1234899759E-02    1.2512462176E-14    1.5385769612E-01
    6.8375000000E+02    1.2121363525E+03    6.7802143918E-03    1.0894500732E+03    2.7284169922E+04    1.2267952728E+02    2.8116429225E-02    1.2512462176E-14    1.5385769612E-01
    6.9600000000E+02    1.0480688477E+03    6.7802143918E-03    9.3496533203E+02    8.1594306641E+03    1.1309674072E+02    3.5794142634E-02    1.2512462176E-14    1.5385769612E-01
    7.0825000000E+02    9.1426818848E+02    6.7802143918E-03    8.1390356445E+02    1.8019019775E+03    1.0035778809E+02    4.5287016779E-02    1.2512462176E-14    1.5385769612E-01
    7.2050000000E+02    8.2427551270E+02    6.7802143918E-03    7.2376715088E+02    1.1694841309E+03    1.0050154114E+02    5.8379828930E-02    1.2512462176E-14    1.5385769612E-01
    7.3275000000E+02    7.8587835693E+02    6.7802143918E-03    6.6211724854E+02    3.4789428711E+03    1.2375431824E+02    7.8518584371E-02    1.2512462176E-14    1.5385769612E-01
    7.4500000000E+02    7.8470941162E+02    6.7802143918E-03    6.2659613037E+02    5.0443989258E+03    1.5810649109E+02    1.0919207335E-01    1.2512462176E-14    1.5385769612E-01
    7.5725000000E+02    7.5952563477E+02    6.7802143918E-03    6.1494415283E+02    4.9250107422E+03    1.4457470703E+02    1.4541526139E-01    1.2512462176E-14    1.5385769612E-01
    7.6950000000E+02    7.4200189209E+02    6.7802143918E-03    6.2501062012E+02    4.1980312500E+03    1.1698448181E+02    1.9321539998E-01    1.2512462176E-14    1.5385769612E-01
    7.8175000000E+02    1.1254914856E+02    6.7802143918E-03    1.4206161723E-02    1.9079250488E+03    1.1252816010E+02    3.9423622191E-02    1.2512462176E-14    1.5385769612E-01
