#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 2.5 days
    5.1225000000E+02    3.1777509766E+04    4.4434995319E-03    3.1718419922E+04    2.6222703934E+01    5.9085334778E+01    1.0985716232E-16    3.1429883839E-15    1.5385769612E-01
    5.2450000000E+02    2.8657757812E+04    4.4434995319E-03    2.8653537109E+04    8.6528646946E-01    4.2167863846E+00    3.9282606120E-16    3.1429883839E-15    1.5385769612E-01
    5.3675000000E+02    2.5779378906E+04    4.4434995319E-03    2.5748384766E+04    1.0440431213E+02    3.0990158081E+01    1.3112121904E-15    3.1429883839E-15    1.5385769612E-01
    5.4900000000E+02    2.3061005859E+04    4.4434995319E-03    2.3018130859E+04    8.0207801819E+01    4.2869579315E+01    4.0915786757E-15    3.1429883839E-15    1.5385769612E-01
    5.6125000000E+02    2.0473708984E+04    4.4434995319E-03    2.0473500000E+04    2.1511016414E-02    2.0585294068E-01    1.1961681544E-14    3.1429883839E-15    1.5385769612E-01
    5.7350000000E+02    1.8122423828E+04    4.4434995319E-03    1.8121228516E+04    1.3535222411E-01    1.1914781332E+00    3.3037744225E-14    3.1429883839E-15    1.5385769612E-01
    5.8575000000E+02    1.5967045898E+04    4.4434995319E-03    1.5964526367E+04    3.0123806000E-01    2.5144615173E+00    8.6364854884E-14    3.1429883839E-15    1.5385769612E-01
    5.9800000000E+02    1.4035683594E+04    4.4434995319E-03    1.4003574219E+04    3.9450569153E+01    3.2105209351E+01    2.1486389328E-13    3.1429883839E-15    1.5385769612E-01
    6.1025000000E+02    1.2324558594E+04    4.4434995319E-03    1.2235993164E+04    7.9507415771E+01    8.8561454773E+01    5.1083892975E-13    3.1429883839E-15    1.5385769612E-01
    6.2250000000E+02    1.0732559570E+04    4.4434995319E-03    1.0657300781E+04    6.5840118408E+01    7.5254478455E+01    1.1553909956E-12    3.1429883839E-15    1.5385769612E-01
    6.3475000000E+02    9.3392158203E+03    4.4434995319E-03    9.2613339844E+03    1.1960826874E+02    7.7878135681E+01    2.5110358671E-12    3.1429883839E-15    1.5385769612E-01
    6.4700000000E+02    8.1344418945E+03    4.4434995319E-03    8.0406293945E+03    1.0945082855E+02    9.3808647156E+01    5.2647955440E-12    3.1429883839E-15    1.5385769612E-01
    6.5925000000E+02    7.0540659180E+03    4.4434995319E-03    6.9867617188E+03    5.3508609772E+01    6.7299446106E+01    1.0614870961E-11    3.1429883839E-15    1.5385769612E-01
    6.7150000000E+02    6.1648950195E+03    4.4434995319E-03    6.0906406250E+03    1.4401599121E+02    7.4250175476E+01    2.0872780934E-11    3.1429883839E-15    1.5385769612E-01
    6.8375000000E+02    5.4431254883E+03    4.4434995319E-03    5.3427622070E+03    5.3074224854E+02    1.0035848236E+02    4.0200027335E-11    3.1429883839E-15    1.5385769612E-01
