#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 5.5 days
    5.1225000000E+02    2.5821400391E+04    9.0605300905E-04    2.5567779297E+04    7.1173141479E+01    2.5362139893E+02    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.2450000000E+02    2.4614626953E+04    9.0605300905E-04    2.4600460938E+04    2.3051819801E+00    1.4165163994E+01    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.3675000000E+02    2.3827365234E+04    9.0605300905E-04    2.3676761719E+04    3.2163854980E+02    1.5060276794E+02    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.4900000000E+02    2.2979656250E+04    9.0605300905E-04    2.2799621094E+04    2.0965347290E+02    1.8003392029E+02    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.6125000000E+02    2.1971037109E+04    9.0605300905E-04    2.1971035156E+04    3.8278180000E-05    3.8277564454E-04    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.7350000000E+02    2.1192134766E+04    9.0605300905E-04    2.1192130859E+04    2.4276727345E-04    2.4275563192E-03    0.0000000000E+00    2.8011914255E-16    1.5385769612E-01
    5.8575000000E+02    2.0463289062E+04    9.0605300905E-04    2.0463283203E+04    5.3235091036E-04    5.3231320344E-03    5.7945434715E-38    2.8011914255E-16    1.5385769612E-01
    5.9800000000E+02    1.9784921875E+04    9.0605300905E-04    1.9784212891E+04    7.1064382792E-02    7.0836359262E-01    4.7974172633E-37    2.8011914255E-16    1.5385769612E-01
    6.1025000000E+02    1.9155435547E+04    9.0605300905E-04    1.9154091797E+04    1.3458159566E-01    1.3425455093E+00    3.6379842592E-36    2.8011914255E-16    1.5385769612E-01
    6.2250000000E+02    1.8572720703E+04    9.0605300905E-04    1.8571646484E+04    1.0767860711E-01    1.0734604597E+00    2.5405853794E-35    2.8011914255E-16    1.5385769612E-01
    6.3475000000E+02    1.8117341797E+04    9.0605300905E-04    1.8035246094E+04    1.3606134033E+02    8.2095611572E+01    1.6496103674E-34    2.8011914255E-16    1.5385769612E-01
    6.4700000000E+02    1.7640683594E+04    9.0605300905E-04    1.7542984375E+04    5.1453334808E+01    9.7698120117E+01    9.9254665487E-34    2.8011914255E-16    1.5385769612E-01
    6.5925000000E+02    1.7145996094E+04    9.0605300905E-04    1.7092767578E+04    2.9673221588E+01    5.3226943970E+01    5.5577402294E-33    2.8011914255E-16    1.5385769612E-01
    6.7150000000E+02    1.6694083984E+04    9.0605300905E-04    1.6682357422E+04    1.3860651255E+00    1.1726325989E+01    2.9177333195E-32    2.8011914255E-16    1.5385769612E-01
    6.8375000000E+02    1.6423306641E+04    9.0605300905E-04    1.6309440430E+04    4.0297050476E+01    1.1386465454E+02    1.4538228486E-31    2.8011914255E-16    1.5385769612E-01
    6.9600000000E+02    1.6310982422E+04    9.0605300905E-04    1.5971670898E+04    2.7641592407E+02    3.3930996704E+02    6.8925515631E-31    2.8011914255E-16    1.5385769612E-01
    7.0825000000E+02    1.5952717773E+04    9.0605300905E-04    1.5666711914E+04    9.6458473206E+01    2.8600512695E+02    3.0424472046E-30    2.8011914255E-16    1.5385769612E-01
    7.2050000000E+02    1.5484380859E+04    9.0605300905E-04    1.5392262695E+04    2.0062286377E+01    9.2116722107E+01    1.2637896624E-29    2.8011914255E-16    1.5385769612E-01
    7.3275000000E+02    1.5208198242E+04    9.0605300905E-04    1.5146080078E+04    1.0770374298E+01    6.2117538452E+01    5.0505015101E-29    2.8011914255E-16    1.5385769612E-01
    7.4500000000E+02    1.5171962891E+04    9.0605300905E-04    1.4926002930E+04    1.9305002441E+03    2.4595933533E+02    1.9541508366E-28    2.8011914255E-16    1.5385769612E-01
    7.5725000000E+02    1.4924653320E+04    9.0605300905E-04    1.4729964844E+04    3.5141229248E+02    1.9468701172E+02    7.1234789743E-28    2.8011914255E-16    1.5385769612E-01
    7.6950000000E+02    1.4824407227E+04    9.0605300905E-04    1.4555998047E+04    9.9336456299E+02    2.6840802002E+02    2.5107936536E-27    2.8011914255E-16    1.5385769612E-01
    7.8175000000E+02    1.4213576172E+04    9.0605300905E-04    1.3841176758E+04    3.7876763916E+02    3.7239810181E+02    8.1970552069E-27    2.8011914255E-16    1.5385769612E-01
    7.9400000000E+02    1.3925127930E+04    9.0605300905E-04    1.3665172852E+04    1.4632347412E+03    2.5995443726E+02    2.6290222558E-26    2.8011914255E-16    1.5385769612E-01
