#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 3.5 days
    5.1225000000E+02    2.7347564453E+04    3.2218684039E-03    2.7226597656E+04    7.4602577209E+01    1.2096266937E+02    8.3893779548E-22    1.1151743557E-15    1.5385769612E-01
    5.2450000000E+02    2.4924492188E+04    3.2218684039E-03    2.4915505859E+04    2.4172744751E+00    8.9834508896E+00    3.8943675356E-21    1.1151743557E-15    1.5385769612E-01
    5.3675000000E+02    2.2785955078E+04    3.2218684039E-03    2.2723417969E+04    3.0451013184E+02    6.2533592224E+01    1.6774478037E-20    1.1151743557E-15    1.5385769612E-01
    5.4900000000E+02    2.0745320312E+04    3.2218684039E-03    2.0661380859E+04    2.2653948975E+02    8.3936126709E+01    6.6920856722E-20    1.1151743557E-15    1.5385769612E-01
    5.6125000000E+02    1.8738503906E+04    3.2218684039E-03    1.8737179688E+04    1.3662490249E-01    1.3206326962E+00    2.4753428944E-19    1.1151743557E-15    1.5385769612E-01
    5.7350000000E+02    1.6964500000E+04    3.2218684039E-03    1.6955685547E+04    9.6025037766E-01    8.8111753464E+00    8.6144543205E-19    1.1151743557E-15    1.5385769612E-01
    5.8575000000E+02    1.5327199219E+04    3.2218684039E-03    1.5319184570E+04    8.6339026690E-01    8.0117921829E+00    2.8198543655E-18    1.1151743557E-15    1.5385769612E-01
    5.9800000000E+02    1.3884903320E+04    3.2218684039E-03    1.3827736328E+04    2.4314769745E+01    5.7163753510E+01    8.7557150557E-18    1.1151743557E-15    1.5385769612E-01
    6.1025000000E+02    1.2624782227E+04    3.2218684039E-03    1.2479533203E+04    4.7626964569E+01    1.4524617004E+02    2.5903003718E-17    1.1151743557E-15    1.5385769612E-01
    6.2250000000E+02    1.1379277344E+04    3.2218684039E-03    1.1271225586E+04    3.8772521973E+01    1.0804887390E+02    7.2339737130E-17    1.1151743557E-15    1.5385769612E-01
    6.3475000000E+02    1.0319208008E+04    3.2218684039E-03    1.0198230469E+04    1.7321234131E+02    1.2097428894E+02    1.9411635370E-16    1.1151743557E-15    1.5385769612E-01
    6.4700000000E+02    9.4035800781E+03    3.2218684039E-03    9.2550166016E+03    1.0449769592E+02    1.4856015015E+02    5.0123555819E-16    1.1151743557E-15    1.5385769612E-01
    6.5925000000E+02    8.5201494141E+03    3.2218684039E-03    8.4353525391E+03    5.3805675507E+01    8.4794647217E+01    1.2353280969E-15    1.1151743557E-15    1.5385769612E-01
    6.7150000000E+02    7.8293369141E+03    3.2218684039E-03    7.7325146484E+03    9.0075469971E+01    9.6818687439E+01    2.9709447691E-15    1.1151743557E-15    1.5385769612E-01
    6.8375000000E+02    7.2876645508E+03    3.2218684039E-03    7.1394843750E+03    5.2793218994E+02    1.4817686462E+02    6.9785083643E-15    1.1151743557E-15    1.5385769612E-01
    6.9600000000E+02    6.9555644531E+03    3.2218684039E-03    6.6490966797E+03    1.0405119629E+03    3.0646463013E+02    1.6238185723E-14    1.1151743557E-15    1.5385769612E-01
    7.0825000000E+02    6.5403022461E+03    3.2218684039E-03    6.2541694336E+03    1.2478696289E+03    2.8612963867E+02    3.6029315517E-14    1.1151743557E-15    1.5385769612E-01
    7.2050000000E+02    6.0724833984E+03    3.2218684039E-03    5.9476088867E+03    2.0900682068E+02    1.2487123108E+02    7.6531568084E-14    1.1151743557E-15    1.5385769612E-01
    7.3275000000E+02    5.9311230469E+03    3.2218684039E-03    5.7224902344E+03    3.0095578003E+02    2.0862963867E+02    1.6606605414E-13    1.1151743557E-15    1.5385769612E-01
    7.4500000000E+02    6.0009121094E+03    3.2218684039E-03    5.5721196289E+03    3.0999589844E+04    4.2878897095E+02    3.6301858871E-13    1.1151743557E-15    1.5385769612E-01
    7.5725000000E+02    5.9284165039E+03    3.2218684039E-03    5.4900825195E+03    6.8540830078E+03    4.3833065796E+02    7.5460210996E-13    1.1151743557E-15    1.5385769612E-01
    7.6950000000E+02    5.8292792969E+03    3.2218684039E-03    5.4702753906E+03    1.6150209961E+04    3.5900061035E+02    1.5223861668E-12    1.1151743557E-15    1.5385769612E-01
    7.8175000000E+02    4.0777587891E+03    3.2218684039E-03    3.6585144043E+03    7.1384790039E+03    4.1924127197E+02    2.1333019986E-12    1.1151743557E-15    1.5385769612E-01
    7.9400000000E+02    3.9483459473E+03    3.2218684039E-03    3.6120322266E+03    2.2599437500E+04    3.3631063843E+02    4.0443737769E-12    1.1151743557E-15    1.5385769612E-01
    8.0625000000E+02    3.9062531738E+03    3.2218684039E-03    3.5663818359E+03    2.9161851562E+04    3.3986816406E+02    7.6656623757E-12    1.1151743557E-15    1.5385769612E-01
    8.1850000000E+02    4.0233308105E+03    3.2218684039E-03    3.5215393066E+03    2.6521855469E+04    5.0178826904E+02    1.4815336458E-11    1.1151743557E-15    1.5385769612E-01
    8.3075000000E+02    4.0209084473E+03    3.2218684039E-03    3.4774814453E+03    1.6592632812E+04    5.4342370605E+02    2.7238242911E-11    1.1151743557E-15    1.5385769612E-01
    8.4300000000E+02    4.2694843750E+03    3.2218684039E-03    3.4341887207E+03    2.3572580078E+04    8.3529278564E+02    5.2208019158E-11    1.1151743557E-15    1.5385769612E-01
    8.5525000000E+02    4.1275913086E+03    3.2218684039E-03    3.3916416016E+03    3.3794389648E+03    7.3594665527E+02    8.9475815646E-11    1.1151743557E-15    1.5385769612E-01
    8.6750000000E+02    3.6871411133E+03    3.2218684039E-03    3.3498239746E+03    1.3050453125E+04    3.3731396484E+02    1.3926053366E-10    1.1151743557E-15    1.5385769612E-01
    8.7975000000E+02    3.5720915527E+03    3.2218684039E-03    3.3087199707E+03    9.8067451172E+03    2.6336834717E+02    2.3120383386E-10    1.1151743557E-15    1.5385769612E-01
    8.9200000000E+02    3.5565844727E+03    3.2218684039E-03    3.2683161621E+03    3.7867782593E+02    2.8826495361E+02    3.8828343318E-10    1.1151743557E-15    1.5385769612E-01
    9.0425000000E+02    3.6526301270E+03    3.2218684039E-03    3.2286013184E+03    8.0476782227E+03    4.2402545166E+02    6.6246302888E-10    1.1151743557E-15    1.5385769612E-01
