#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 3.5 days
    5.1225000000E+02    3.3024691406E+04    3.9894786158E-03    3.2915652344E+04    3.7731525421E+01    1.0903052521E+02    3.6357018318E-26    1.1151743557E-15    1.5385769612E-01
    5.2450000000E+02    2.9873822266E+04    3.9894786158E-03    2.9867087891E+04    1.2139747143E+00    6.7323093414E+00    2.1334550897E-25    1.1151743557E-15    1.5385769612E-01
    5.3675000000E+02    2.7037687500E+04    3.9894786158E-03    2.6976804688E+04    1.5745938110E+02    6.0877868652E+01    1.1458479764E-24    1.1151743557E-15    1.5385769612E-01
    5.4900000000E+02    2.4335943359E+04    3.9894786158E-03    2.4259730469E+04    1.1384039307E+02    7.6209365845E+01    5.6329654234E-24    1.1151743557E-15    1.5385769612E-01
    5.6125000000E+02    2.1726435547E+04    3.9894786158E-03    2.1726410156E+04    2.0953721832E-03    2.0908109844E-02    2.5420602486E-23    1.1151743557E-15    1.5385769612E-01
    5.7350000000E+02    1.9383589844E+04    3.9894786158E-03    1.9383455078E+04    1.3152902946E-02    1.3067266345E-01    1.0663956770E-22    1.1151743557E-15    1.5385769612E-01
    5.8575000000E+02    1.7234294922E+04    3.9894786158E-03    1.7234003906E+04    2.9163628817E-02    2.8885775805E-01    4.1663609192E-22    1.1151743557E-15    1.5385769612E-01
    5.9800000000E+02    1.5304105469E+04    3.9894786158E-03    1.5278205078E+04    3.8513913155E+00    2.5896198273E+01    1.5257706876E-21    1.1151743557E-15    1.5385769612E-01
    6.1025000000E+02    1.3569329102E+04    3.9894786158E-03    1.3513688477E+04    7.5779490471E+00    5.5636390686E+01    5.2564480455E-21    1.1151743557E-15    1.5385769612E-01
    6.2250000000E+02    1.1978503906E+04    3.9894786158E-03    1.1936004883E+04    6.1711401939E+00    4.2494625092E+01    1.7048425069E-20    1.1151743557E-15    1.5385769612E-01
    6.3475000000E+02    1.0616084961E+04    3.9894786158E-03    1.0539053711E+04    7.3635047913E+01    7.7027763367E+01    5.2665552394E-20    1.1151743557E-15    1.5385769612E-01
    6.4700000000E+02    9.4034199219E+03    3.9894786158E-03    9.3154501953E+03    3.4620899200E+01    8.7965286255E+01    1.5473513250E-19    1.1151743557E-15    1.5385769612E-01
    6.5925000000E+02    8.3115136719E+03    3.9894786158E-03    8.2568632812E+03    2.1939622879E+01    5.4647029877E+01    4.3292384364E-19    1.1151743557E-15    1.5385769612E-01
    6.7150000000E+02    7.4108173828E+03    3.9894786158E-03    7.3543071289E+03    2.4493330002E+01    5.6506698608E+01    1.1690940644E-18    1.1151743557E-15    1.5385769612E-01
    6.8375000000E+02    6.7007543945E+03    3.9894786158E-03    6.5983876953E+03    4.5023788452E+02    1.0236321259E+02    3.0706917164E-18    1.1151743557E-15    1.5385769612E-01
    6.9600000000E+02    6.2237343750E+03    3.9894786158E-03    5.9795156250E+03    1.9986303711E+03    2.4421452332E+02    7.9643116590E-18    1.1151743557E-15    1.5385769612E-01
    7.0825000000E+02    5.7400063477E+03    3.9894786158E-03    5.4880766602E+03    1.1254980469E+03    2.5192568970E+02    1.9758742524E-17    1.1151743557E-15    1.5385769612E-01
    7.2050000000E+02    5.1839277344E+03    3.9894786158E-03    5.1145727539E+03    1.5738768005E+02    6.9351295471E+01    4.6330531693E-17    1.1151743557E-15    1.5385769612E-01
    7.3275000000E+02    5.0118647461E+03    3.9894786158E-03    4.8497285156E+03    6.6637359619E+02    1.6213217163E+02    1.1245274259E-16    1.1151743557E-15    1.5385769612E-01
    7.4500000000E+02    5.0920175781E+03    3.9894786158E-03    4.6845805664E+03    1.4777176758E+04    4.0743289185E+02    2.7781812461E-16    1.1151743557E-15    1.5385769612E-01
    7.5725000000E+02    5.0453549805E+03    3.9894786158E-03    4.6105361328E+03    6.6892104492E+03    4.3481448364E+02    6.4936362121E-16    1.1151743557E-15    1.5385769612E-01
    7.6950000000E+02    4.9557221680E+03    3.9894786158E-03    4.6194194336E+03    8.4845634766E+03    3.3629873657E+02    1.4618339184E-15    1.1151743557E-15    1.5385769612E-01
    7.8175000000E+02    2.5846950684E+03    3.9894786158E-03    2.2202050781E+03    9.3262910156E+03    3.6448611450E+02    1.7000709346E-15    1.1151743557E-15    1.5385769612E-01
    7.9400000000E+02    2.5142102051E+03    3.9894786158E-03    2.1919641113E+03    8.5215224609E+03    3.2224218750E+02    3.5922209895E-15    1.1151743557E-15    1.5385769612E-01
    8.0625000000E+02    2.4973232422E+03    3.9894786158E-03    2.1642265625E+03    1.0868276367E+04    3.3309277344E+02    7.5597436433E-15    1.1151743557E-15    1.5385769612E-01
    8.1850000000E+02    2.6272753906E+03    3.9894786158E-03    2.1369785156E+03    1.6269658203E+04    4.9029281616E+02    1.6454079174E-14    1.1151743557E-15    1.5385769612E-01
    8.3075000000E+02    2.6226206055E+03    3.9894786158E-03    2.1102060547E+03    1.1407819336E+04    5.1241064453E+02    3.3217894581E-14    1.1151743557E-15    1.5385769612E-01
    8.4300000000E+02    2.8759096680E+03    3.9894786158E-03    2.0838969727E+03    3.7077574219E+04    7.9200878906E+02    7.2086474702E-14    1.1151743557E-15    1.5385769612E-01
    8.5525000000E+02    2.7442705078E+03    3.9894786158E-03    2.0580400391E+03    6.0318955078E+03    6.8622650146E+02    1.3333232359E-13    1.1151743557E-15    1.5385769612E-01
    8.6750000000E+02    2.3312800293E+03    3.9894786158E-03    2.0326248779E+03    4.5181948242E+03    2.9865127563E+02    2.1523456845E-13    1.1151743557E-15    1.5385769612E-01
    8.7975000000E+02    2.2189243164E+03    3.9894786158E-03    2.0076424561E+03    3.3199765625E+03    2.1127793884E+02    3.8195938383E-13    1.1151743557E-15    1.5385769612E-01
    8.9200000000E+02    2.2287683105E+03    3.9894786158E-03    1.9830848389E+03    1.5810394287E+02    2.4567967224E+02    7.0241403839E-13    1.1151743557E-15    1.5385769612E-01
    9.0425000000E+02    2.3621225586E+03    3.9894786158E-03    1.9589448242E+03    2.6896484375E+03    4.0317376709E+02    1.3393981020E-12    1.1151743557E-15    1.5385769612E-01
