#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 1.5 days
    5.1225000000E+02    6.9342060547E+03    8.0160005537E-03    6.9025673828E+03    6.0820440674E+02    3.1630605698E+01    2.5478079806E-06    1.2512462176E-14    1.5385769612E-01
    5.2450000000E+02    6.2296977539E+03    8.0160005537E-03    6.2094497070E+03    6.4349533081E+01    2.0240016937E+01    5.1462761803E-06    1.2512462176E-14    1.5385769612E-01
    5.3675000000E+02    5.5623750000E+03    8.0160005537E-03    5.5525727539E+03    2.2862842083E+00    9.7943019867E+00    9.9245735328E-06    1.2512462176E-14    1.5385769612E-01
    5.4900000000E+02    4.9576333008E+03    8.0160005537E-03    4.9353989258E+03    2.7558645630E+02    2.2226226807E+01    1.8404647562E-05    1.2512462176E-14    1.5385769612E-01
    5.6125000000E+02    4.3723876953E+03    8.0160005537E-03    4.3603774414E+03    3.3564411163E+01    1.2002251625E+01    3.2617324905E-05    1.2512462176E-14    1.5385769612E-01
    5.7350000000E+02    3.8402976074E+03    8.0160005537E-03    3.8290498047E+03    2.5521560669E+01    1.1239933968E+01    5.5724889535E-05    1.2512462176E-14    1.5385769612E-01
    5.8575000000E+02    3.3482438965E+03    8.0160005537E-03    3.3421533203E+03    5.1564540863E+00    6.0826129913E+00    9.1675086878E-05    1.2512462176E-14    1.5385769612E-01
    5.9800000000E+02    2.9319135742E+03    8.0160005537E-03    2.8997338867E+03    3.7941015625E+02    3.2171527863E+01    1.4722142078E-04    1.2512462176E-14    1.5385769612E-01
    6.1025000000E+02    2.5665231934E+03    8.0160005537E-03    2.5012548828E+03    1.0867227783E+03    6.5260185242E+01    2.3012181919E-04    1.2512462176E-14    1.5385769612E-01
    6.2250000000E+02    2.2094101562E+03    8.0160005537E-03    2.1457004395E+03    2.0226130371E+03    6.3701587677E+01    3.4498333116E-04    1.2512462176E-14    1.5385769612E-01
