#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 2.5 days
    9.2875000000E+02    7.9871203613E+02    4.5736134276E-03    2.3396803284E+02    7.4929755859E+03    5.6473937988E+02    2.8830834708E-05    3.1429883839E-15    1.5385769612E-01
    9.4100000000E+02    9.0767724609E+02    4.5736134276E-03    2.3116419983E+02    7.6070101562E+04    6.7650848389E+02    4.5666649385E-05    3.1429883839E-15    1.5385769612E-01
    9.5325000000E+02    9.4660394287E+02    4.5736134276E-03    2.2840936279E+02    5.6755742188E+04    7.1819006348E+02    6.5756437834E-05    3.1429883839E-15    1.5385769612E-01
    9.6550000000E+02    8.2720080566E+02    4.5736134276E-03    2.2570336914E+02    8.6151234375E+04    6.0149285889E+02    7.8622411820E-05    3.1429883839E-15    1.5385769612E-01
    9.7775000000E+02    8.0780029297E+02    4.5736134276E-03    2.2304618835E+02    1.7832573438E+05    5.8474957275E+02    1.0414107237E-04    3.1429883839E-15    1.5385769612E-01
    9.9000000000E+02    7.5115893555E+02    4.5736134276E-03    2.2043795776E+02    3.0557521973E+03    5.3071643066E+02    1.3025515364E-04    3.1429883839E-15    1.5385769612E-01
    1.0022500000E+03    8.8481909180E+02    4.5736134276E-03    2.1787899780E+02    7.5815498047E+03    6.6693554688E+02    2.0472184406E-04    3.1429883839E-15    1.5385769612E-01
    1.0145000000E+03    8.1222393799E+02    4.5736134276E-03    2.1536981201E+02    3.6985793457E+03    5.9684954834E+02    2.4880783167E-04    3.1429883839E-15    1.5385769612E-01
    1.0267500000E+03    6.7453680420E+02    4.5736134276E-03    2.1291108704E+02    9.4335390625E+03    4.6162115479E+02    2.7153754490E-04    3.1429883839E-15    1.5385769612E-01
    1.0390000000E+03    8.1745239258E+02    4.5736134276E-03    2.1050375366E+02    1.9288554688E+03    6.0694409180E+02    4.2933912482E-04    3.1429883839E-15    1.5385769612E-01
    1.0512500000E+03    7.1688659668E+02    4.5736134276E-03    2.0811018372E+02    3.5218952637E+03    5.0877185059E+02    4.8785595573E-04    3.1429883839E-15    1.5385769612E-01
    1.0635000000E+03    6.9022692871E+02    4.5736134276E-03    2.0580891418E+02    9.4137359619E+02    4.8441342163E+02    6.0455355560E-04    3.1429883839E-15    1.5385769612E-01
    1.0757500000E+03    6.3561798096E+02    4.5736134276E-03    2.0356327820E+02    4.1489448242E+03    4.3205014038E+02    7.1193784242E-04    3.1429883839E-15    1.5385769612E-01
    1.0880000000E+03    6.7964227295E+02    4.5736134276E-03    2.0137528992E+02    1.2739459961E+04    4.7826239014E+02    9.6745224437E-04    3.1429883839E-15    1.5385769612E-01
    1.1002500000E+03    7.1266180420E+02    4.5736134276E-03    1.9924731445E+02    1.2512003174E+03    5.1340991211E+02    1.2815317605E-03    3.1429883839E-15    1.5385769612E-01
    1.1125000000E+03    1.0537299805E+03    4.5736134276E-03    1.9718206787E+02    9.1296215820E+02    8.5654327393E+02    2.3798851762E-03    3.1429883839E-15    1.5385769612E-01
    1.1247500000E+03    8.3063336182E+02    4.5736134276E-03    1.9518276978E+02    4.6874550781E+03    6.3544604492E+02    2.3430646397E-03    3.1429883839E-15    1.5385769612E-01
    1.1370000000E+03    7.2449829102E+02    4.5736134276E-03    1.9325312805E+02    2.1237219238E+03    5.3124060059E+02    2.5386994239E-03    3.1429883839E-15    1.5385769612E-01
    1.1492500000E+03    7.5721313477E+02    4.5736134276E-03    1.9139733887E+02    2.2277060547E+03    5.6581121826E+02    3.2788426615E-03    3.1429883839E-15    1.5385769612E-01
    1.1615000000E+03    8.6664581299E+02    4.5736134276E-03    1.8962031555E+02    2.1631259766E+04    6.7702099609E+02    4.6139918268E-03    3.1429883839E-15    1.5385769612E-01
    1.1737500000E+03    7.9986486816E+02    4.5736134276E-03    1.8792768860E+02    2.0824835938E+04    6.1193261719E+02    5.2102613263E-03    3.1429883839E-15    1.5385769612E-01
    1.1860000000E+03    7.9367602539E+02    4.5736134276E-03    1.8632592773E+02    2.0411135254E+03    6.0734552002E+02    6.2956186011E-03    3.1429883839E-15    1.5385769612E-01
    1.1982500000E+03    6.9240606689E+02    4.5736134276E-03    1.8482243347E+02    6.8620771484E+03    5.0757904053E+02    6.6576036625E-03    3.1429883839E-15    1.5385769612E-01
    1.2105000000E+03    6.7640631104E+02    4.5736134276E-03    1.8342578125E+02    4.9543544922E+03    4.9297595215E+02    7.8487442806E-03    3.1429883839E-15    1.5385769612E-01
    1.2227500000E+03    9.0102160645E+02    4.5736134276E-03    1.8214581299E+02    2.8752496094E+04    7.1887127686E+02    1.2563124299E-02    3.1429883839E-15    1.5385769612E-01
    1.2350000000E+03    6.5902453613E+02    4.5736134276E-03    1.8099392700E+02    2.7239199219E+03    4.7802603149E+02    1.0995728895E-02    3.1429883839E-15    1.5385769612E-01
    1.2472500000E+03    6.6816217041E+02    4.5736134276E-03    1.7998326111E+02    1.4439351807E+03    4.8817434692E+02    1.3286563568E-02    3.1429883839E-15    1.5385769612E-01
    1.2595000000E+03    5.2803125000E+02    4.5736134276E-03    1.7912908936E+02    1.1524146729E+03    3.4889758301E+02    1.2465185486E-02    3.1429883839E-15    1.5385769612E-01
    1.2717500000E+03    6.0656622314E+02    4.5736134276E-03    1.7844918823E+02    1.8235187988E+03    4.2811245728E+02    1.6934763640E-02    3.1429883839E-15    1.5385769612E-01
    1.2840000000E+03    5.5394531250E+02    4.5736134276E-03    1.7796430969E+02    3.5053925781E+04    3.7597644043E+02    1.8223444000E-02    3.1429883839E-15    1.5385769612E-01
