Time 	 	 Temperature 	 	 Tau 
1.9 	 	 3745.17 	 	 	 10.0113 
1.9 	 	 9418.28 	 	 	 13.0088 
1.9 	 	 7671.1 	 	 	 10.5098 
1.9 	 	 12796.6 	 	 	 10.1019 
1.9 	 	 9938.37 	 	 	 15.2671 
1.9 	 	 3420.02 	 	 	 8.44719 
1.9 	 	 13526.2 	 	 	 18.4268 
1.9 	 	 4045.28 	 	 	 0.96075 
1.9 	 	 12796.6 	 	 	 22.7791 
1.9 	 	 9059.09 	 	 	 13.648 
1.9 	 	 15104.7 	 	 	 76.6895 
1.9 	 	 16206.1 	 	 	 123.323 
1.9 	 	 4952.14 	 	 	 3.64707 
1.9 	 	 11682.6 	 	 	 20.4364 
1.9 	 	 20483.3 	 	 	 330.013 
1.9 	 	 4694.62 	 	 	 10.2277 
1.9 	 	 9059.09 	 	 	 12.2243 
1.9 	 	 3756.9 	 	 	 0.310834 
1.9 	 	 17261.4 	 	 	 96.4064 
1.9 	 	 7905.93 	 	 	 10.5482 
1.9 	 	 9991.1 	 	 	 12.0902 
1.9 	 	 4300.32 	 	 	 10.0313 
1.9 	 	 7370.77 	 	 	 11.65 
1.9 	 	 17261.4 	 	 	 53.5742 
1.9 	 	 6626.32 	 	 	 10.6779 
1.9 	 	 12667.1 	 	 	 37.0422 
1.9 	 	 3990.58 	 	 	 2.68702 
1.9 	 	 3414.81 	 	 	 0.0510921 
1.9 	 	 13070.9 	 	 	 38.2714 
1.9 	 	 8985.84 	 	 	 10.1105 
1.9 	 	 7235.81 	 	 	 10.5827 
1.9 	 	 5311.83 	 	 	 4.34209 
1.9 	 	 11499.1 	 	 	 33.7924 
1.9 	 	 14869.3 	 	 	 35.8586 
1.9 	 	 13368 	 	 	 44.1316 
1.9 	 	 20483.3 	 	 	 334.826 
1.9 	 	 4694.62 	 	 	 10.1905 
1.9 	 	 4293.08 	 	 	 10.4299 
1.9 	 	 19173 	 	 	 133.647 
1.9 	 	 12421.9 	 	 	 23.4833 
1.9 	 	 14045.7 	 	 	 22.3475 
1.9 	 	 5639.69 	 	 	 10.4365 
1.9 	 	 9737.22 	 	 	 10.2683 
1.9 	 	 4026.11 	 	 	 6.34744 
1.9 	 	 10212.8 	 	 	 10.0468 
1.9 	 	 21276.8 	 	 	 421.441 
1.9 	 	 5265.34 	 	 	 10.0182 
1.9 	 	 14436 	 	 	 11.3175 
1.9 	 	 20483.3 	 	 	 132.828 
1.9 	 	 10648.6 	 	 	 15.187 
1.9 	 	 9418.28 	 	 	 13.9617 
1.9 	 	 3700.96 	 	 	 10.0453 
1.9 	 	 5639.69 	 	 	 10.1817 
1.9 	 	 4337.19 	 	 	 10.0023 
1.9 	 	 3653.26 	 	 	 10.0547 
1.9 	 	 12796.6 	 	 	 27.2544 
1.9 	 	 13864.5 	 	 	 21.494 
1.9 	 	 15620 	 	 	 70.4141 
1.9 	 	 4469.06 	 	 	 10.2332 
1.9 	 	 14045.7 	 	 	 30.3417 
1.9 	 	 12542.3 	 	 	 10.0197 
1.9 	 	 16531.4 	 	 	 44.2826 
1.9 	 	 14436 	 	 	 14.4728 
1.9 	 	 3504.13 	 	 	 0.394757 
1.9 	 	 4172.14 	 	 	 4.68678 
1.9 	 	 4564.64 	 	 	 10.0718 
1.9 	 	 15354.4 	 	 	 33.9559 
1.9 	 	 7631.08 	 	 	 11.8301 
1.9 	 	 5018.71 	 	 	 9.58836 
1.9 	 	 6031.26 	 	 	 12.8134 
1.9 	 	 16531.4 	 	 	 152.502 
1.9 	 	 6303.21 	 	 	 7.36103 
1.9 	 	 7441.81 	 	 	 11.0997 
1.9 	 	 4711.42 	 	 	 10.2149 
1.9 	 	 6799.67 	 	 	 10.1164 
1.9 	 	 19788.5 	 	 	 402.136 
1.9 	 	 7496.78 	 	 	 10.4669 
1.9 	 	 6383.72 	 	 	 10.1308 
1.9 	 	 14436 	 	 	 21.8419 
1.9 	 	 3623.11 	 	 	 4.71946 
1.9 	 	 16531.4 	 	 	 177.285 
1.9 	 	 7423.81 	 	 	 10.3825 
1.9 	 	 18125.6 	 	 	 271.867 
1.9 	 	 17261.4 	 	 	 211.235 
1.9 	 	 16531.4 	 	 	 139.74 
1.9 	 	 9886.66 	 	 	 17.1753 
1.9 	 	 6048.07 	 	 	 10.3978 
1.9 	 	 20483.3 	 	 	 191.618 
1.9 	 	 6414.91 	 	 	 10.2393 
1.9 	 	 4480.25 	 	 	 0.916988 
1.9 	 	 15104.7 	 	 	 62.9079 
1.9 	 	 3952.61 	 	 	 10.3163 
1.9 	 	 13526.2 	 	 	 18.8111 
1.9 	 	 18125.6 	 	 	 261.08 
1.9 	 	 11411.2 	 	 	 23.1146 
1.9 	 	 10099.7 	 	 	 15.0246 
1.9 	 	 21276.8 	 	 	 263.851 
1.9 	 	 5871.99 	 	 	 10.1122 
1.9 	 	 18622.4 	 	 	 160.056 
1.9 	 	 16206.1 	 	 	 34.0437 
1.9 	 	 18125.6 	 	 	 237.041 
1.9 	 	 10271.1 	 	 	 17.5884 
1.9 	 	 13368 	 	 	 13.5472 
1.9 	 	 4537.83 	 	 	 10.2817 
1.9 	 	 4505.83 	 	 	 4.15436 
1.9 	 	 6934.25 	 	 	 2.96547 
1.9 	 	 6065.06 	 	 	 10.0052 
1.9 	 	 19788.5 	 	 	 356.474 
1.9 	 	 12796.6 	 	 	 36.7411 
1.9 	 	 5079.74 	 	 	 10.1385 
1.9 	 	 18125.6 	 	 	 113.918 
1.9 	 	 12667.1 	 	 	 30.5884 
1.9 	 	 3799.05 	 	 	 3.48263 
1.9 	 	 9375.77 	 	 	 11.0903 
1.9 	 	 4150.69 	 	 	 8.17202 
1.9 	 	 3882.15 	 	 	 7.23053 
1.9 	 	 12931.1 	 	 	 13.7076 
1.9 	 	 9212.44 	 	 	 11.5687 
1.9 	 	 14045.7 	 	 	 19.2959 
1.9 	 	 9595.74 	 	 	 4.06637 
1.9 	 	 19173 	 	 	 26.9014 
1.9 	 	 6125.93 	 	 	 7.24259 
1.9 	 	 4290.68 	 	 	 4.91365 
1.9 	 	 5120.45 	 	 	 25.3729 
1.9 	 	 9991.1 	 	 	 12.4109 
1.9 	 	 19788.5 	 	 	 308.738 
1.9 	 	 8094.41 	 	 	 14.6163 
1.9 	 	 19788.5 	 	 	 182.39 
1.9 	 	 14436 	 	 	 89.8731 
1.9 	 	 19173 	 	 	 314.305 
1.9 	 	 3668 	 	 	 0.469451 
1.9 	 	 7109.49 	 	 	 10.0775 
1.9 	 	 3591.35 	 	 	 1.92733 
1.9 	 	 9292.79 	 	 	 11.6727 
1.9 	 	 12421.9 	 	 	 12.0079 
1.9 	 	 6786.73 	 	 	 11.3573 
1.9 	 	 7124.84 	 	 	 10.4434 
1.9 	 	 19788.5 	 	 	 108.532 
1.9 	 	 18125.6 	 	 	 264.877 
1.9 	 	 8985.84 	 	 	 13.3445 
1.9 	 	 16206.1 	 	 	 61.7713 
1.9 	 	 5526.28 	 	 	 10.4233 
1.9 	 	 5225.23 	 	 	 10.1576 
1.9 	 	 12796.6 	 	 	 15.0151 
1.9 	 	 14045.7 	 	 	 10.8259 
1.9 	 	 6852.35 	 	 	 10.4987 
1.9 	 	 7140.31 	 	 	 10.1074 
1.9 	 	 4892.57 	 	 	 8.25499 
1.9 	 	 9375.77 	 	 	 10.4217 
1.9 	 	 9059.09 	 	 	 6.26095 
1.9 	 	 13368 	 	 	 32.9578 
1.9 	 	 10391.4 	 	 	 17.4027 
1.9 	 	 9689.21 	 	 	 13.0073 
1.9 	 	 6198.32 	 	 	 10.2016 
1.9 	 	 21276.8 	 	 	 67.3966 
1.9 	 	 7795.96 	 	 	 10.0312 
1.9 	 	 18125.6 	 	 	 170.269 
1.9 	 	 16206.1 	 	 	 130.935 
1.9 	 	 6065.06 	 	 	 5.58499 
1.9 	 	 21276.8 	 	 	 324.441 
1.9 	 	 10930.8 	 	 	 16.5634 
1.9 	 	 5432.17 	 	 	 10.2122 
1.9 	 	 7861.26 	 	 	 10.7922 
1.9 	 	 16206.1 	 	 	 75.9747 
1.9 	 	 10582.1 	 	 	 12.7168 
1.9 	 	 14236 	 	 	 92.8123 
1.9 	 	 18622.4 	 	 	 200.657 
1.9 	 	 6446.66 	 	 	 10.1425 
1.9 	 	 18622.4 	 	 	 175.382 
1.9 	 	 3681.6 	 	 	 1.24732 
1.9 	 	 9333.94 	 	 	 10.5299 
1.9 	 	 10271.1 	 	 	 15.8447 
1.9 	 	 4858.07 	 	 	 10.4084 
1.9 	 	 6235.72 	 	 	 4.52042 
1.9 	 	 3539.03 	 	 	 0.0452812 
1.9 	 	 8713.07 	 	 	 17.7246 
1.9 	 	 12305.6 	 	 	 44.8385 
1.9 	 	 10453.6 	 	 	 10.4477 
1.9 	 	 8527.21 	 	 	 14.7496 
1.9 	 	 10648.6 	 	 	 10.0851 
1.9 	 	 10330.6 	 	 	 10.5695 
1.9 	 	 9835.91 	 	 	 11.2872 
1.9 	 	 3965.12 	 	 	 10.0285 
1.9 	 	 15620 	 	 	 108.319 
1.9 	 	 5097.69 	 	 	 1.03856 
1.9 	 	 8527.21 	 	 	 3.53243 
1.9 	 	 3598.88 	 	 	 0.362352 
1.9 	 	 6383.72 	 	 	 10.0066 
1.9 	 	 12796.6 	 	 	 17.0794 
1.9 	 	 19173 	 	 	 310.114 
1.9 	 	 4711.42 	 	 	 0.76891 
1.9 	 	 6152.71 	 	 	 12.2658 
1.9 	 	 4561.64 	 	 	 10.1816 
1.9 	 	 13864.5 	 	 	 70.5516 
1.9 	 	 4549.68 	 	 	 1.16403 
1.9 	 	 13864.5 	 	 	 43.3179 
1.9 	 	 6073.62 	 	 	 10.0164 
1.9 	 	 6920.35 	 	 	 10.6476 
1.9 	 	 9595.74 	 	 	 13.0572 
1.9 	 	 20483.3 	 	 	 301.723 
1.9 	 	 5403.94 	 	 	 4.10012 
1.9 	 	 19173 	 	 	 116.365 
1.9 	 	 19173 	 	 	 217.181 
1.9 	 	 3794.45 	 	 	 8.78765 
1.9 	 	 4295.49 	 	 	 3.00948 
1.9 	 	 7928.62 	 	 	 11.0668 
1.9 	 	 7005.34 	 	 	 10.3189 
1.9 	 	 3677.5 	 	 	 4.82163 
1.9 	 	 6073.62 	 	 	 10.5491 
1.9 	 	 12796.6 	 	 	 28.5131 
1.9 	 	 14045.7 	 	 	 64.1107 
1.9 	 	 12084.5 	 	 	 33.4185 
1.9 	 	 8300.48 	 	 	 12.0693 
1.9 	 	 5195.87 	 	 	 5.33115 
1.9 	 	 16882 	 	 	 59.0828 
1.9 	 	 9886.66 	 	 	 14.1707 
1.9 	 	 4444.23 	 	 	 7.82266 
2.1 	 	 5158.32 	 	 	 10.0223 
2.1 	 	 3566.63 	 	 	 10.1035 
2.1 	 	 3635.7 	 	 	 1.36195 
2.1 	 	 4394.13 	 	 	 15.094 
2.1 	 	 19438.1 	 	 	 417.224 
2.1 	 	 3370.99 	 	 	 10.099 
2.1 	 	 14528.9 	 	 	 23.9168 
2.1 	 	 8851.92 	 	 	 10.0119 
2.1 	 	 5813.36 	 	 	 10.5237 
2.1 	 	 6610.52 	 	 	 10.7631 
2.1 	 	 3210.76 	 	 	 3.29965 
2.1 	 	 6702.2 	 	 	 11.2761 
2.1 	 	 5705.52 	 	 	 10.0514 
2.1 	 	 7463.5 	 	 	 10.5395 
2.1 	 	 6832.05 	 	 	 10.5816 
2.1 	 	 18078.5 	 	 	 124.165 
2.1 	 	 6848.94 	 	 	 10.5554 
2.1 	 	 5525.42 	 	 	 4.14727 
2.1 	 	 4016.17 	 	 	 2.82871 
2.1 	 	 11572.5 	 	 	 22.933 
2.1 	 	 7181.92 	 	 	 10.8709 
2.1 	 	 3127.35 	 	 	 7.28492 
2.1 	 	 7122.27 	 	 	 11.1768 
2.1 	 	 13381.1 	 	 	 59.6852 
2.1 	 	 12212.8 	 	 	 57.9367 
2.1 	 	 6413.25 	 	 	 10.3751 
2.1 	 	 3524.15 	 	 	 1.78716 
2.1 	 	 18713.2 	 	 	 145.522 
2.1 	 	 6200.25 	 	 	 10.4655 
2.1 	 	 3210.76 	 	 	 2.89703 
2.1 	 	 3196.12 	 	 	 0.0996198 
2.1 	 	 8081.21 	 	 	 13.0379 
2.1 	 	 4060.18 	 	 	 10.0019 
2.1 	 	 14528.9 	 	 	 19.5945 
2.1 	 	 5251.32 	 	 	 5.11041 
2.1 	 	 6865.98 	 	 	 12.392 
2.1 	 	 7817.7 	 	 	 12.7496 
2.1 	 	 3735.34 	 	 	 10.0936 
2.1 	 	 4301.2 	 	 	 7.11184 
2.1 	 	 16559.3 	 	 	 72.016 
2.1 	 	 6153.78 	 	 	 10.5369 
2.1 	 	 15769.8 	 	 	 93.887 
2.1 	 	 5421.06 	 	 	 10.1346 
2.1 	 	 3201.32 	 	 	 10.0317 
2.1 	 	 17516.2 	 	 	 175.979 
2.1 	 	 13799.5 	 	 	 46.124 
2.1 	 	 6595.68 	 	 	 11.5284 
2.1 	 	 12357.3 	 	 	 13.856 
2.1 	 	 5251.32 	 	 	 10.9582 
2.1 	 	 13584.4 	 	 	 92.1248 
2.1 	 	 5705.52 	 	 	 10.0022 
2.1 	 	 11139.5 	 	 	 19.4377 
2.1 	 	 6717.95 	 	 	 10.0442 
2.1 	 	 13381.1 	 	 	 62.3016 
2.1 	 	 6309.72 	 	 	 10.2429 
2.1 	 	 3465.15 	 	 	 10.0066 
2.1 	 	 14528.9 	 	 	 91.566 
2.1 	 	 3752.01 	 	 	 10.2969 
2.1 	 	 10271 	 	 	 13.1565 
2.1 	 	 6918.06 	 	 	 7.91258 
2.1 	 	 19438.1 	 	 	 277.067 
2.1 	 	 19438.1 	 	 	 360.179 
2.1 	 	 13799.5 	 	 	 32.95 
2.1 	 	 17516.2 	 	 	 53.7284 
2.1 	 	 8766.52 	 	 	 10.6806 
2.1 	 	 3772.77 	 	 	 10.1617 
2.1 	 	 4121.72 	 	 	 10.4646 
2.1 	 	 13381.1 	 	 	 56.5722 
2.1 	 	 4217.95 	 	 	 3.47531 
2.1 	 	 8565.56 	 	 	 11.0793 
2.1 	 	 5621.02 	 	 	 10.1605 
2.1 	 	 6918.06 	 	 	 11.4438 
2.1 	 	 10588 	 	 	 12.2544 
2.1 	 	 3883.26 	 	 	 10.851 
2.1 	 	 5122.77 	 	 	 10.3093 
2.1 	 	 4947.22 	 	 	 10.0223 
2.1 	 	 3287.88 	 	 	 0.219475 
2.1 	 	 5421.06 	 	 	 10.8242 
2.1 	 	 11572.5 	 	 	 10.4032 
2.1 	 	 18713.2 	 	 	 276.569 
2.1 	 	 8895.78 	 	 	 10.9358 
2.1 	 	 4427.93 	 	 	 10.3221 
2.1 	 	 5015.85 	 	 	 10.162 
2.1 	 	 5533.16 	 	 	 0.10477 
2.1 	 	 4153.8 	 	 	 8.57801 
2.1 	 	 18713.2 	 	 	 51.526 
2.1 	 	 4773.69 	 	 	 10.4586 
2.1 	 	 11813.6 	 	 	 22.1007 
2.1 	 	 13584.4 	 	 	 80.8788 
2.1 	 	 7607.99 	 	 	 10.9407 
2.1 	 	 3555.83 	 	 	 0.826849 
2.1 	 	 12508.4 	 	 	 47.9262 
2.1 	 	 6495.12 	 	 	 11.3735 
2.1 	 	 8895.78 	 	 	 10.3211 
2.1 	 	 16146.9 	 	 	 146.887 
2.1 	 	 18078.5 	 	 	 225.359 
2.1 	 	 6413.25 	 	 	 10.4405 
2.1 	 	 3854.01 	 	 	 0.289033 
2.1 	 	 13381.1 	 	 	 35.3877 
2.1 	 	 13188.5 	 	 	 47.886 
2.1 	 	 4769.18 	 	 	 10.0104 
2.1 	 	 4962.75 	 	 	 5.76234 
2.1 	 	 9986.22 	 	 	 10.7739 
2.1 	 	 18713.2 	 	 	 161.735 
2.1 	 	 6481.2 	 	 	 10.0762 
2.1 	 	 18713.2 	 	 	 157.883 
2.1 	 	 8895.78 	 	 	 18.9926 
2.1 	 	 12357.3 	 	 	 31.7685 
2.1 	 	 7607.99 	 	 	 11.0712 
2.1 	 	 15423.1 	 	 	 64.5618 
2.1 	 	 14805.7 	 	 	 44.0045 
2.1 	 	 4542.89 	 	 	 1.1608 
2.1 	 	 11572.5 	 	 	 31.454 
2.1 	 	 6223.98 	 	 	 10.0861 
2.1 	 	 7486.89 	 	 	 7.49956 
2.1 	 	 6212.07 	 	 	 10.3409 
2.1 	 	 4288.93 	 	 	 8.49364 
2.1 	 	 3845.8 	 	 	 10.058 
2.1 	 	 18713.2 	 	 	 235.488 
2.1 	 	 7607.99 	 	 	 10.7799 
2.1 	 	 4121.72 	 	 	 0.270627 
2.1 	 	 8209.32 	 	 	 13.2293 
2.1 	 	 5457.5 	 	 	 10.2806 
2.1 	 	 8985.94 	 	 	 10.3138 
2.1 	 	 3399.16 	 	 	 1.34272 
2.1 	 	 6625.49 	 	 	 0.643223 
2.1 	 	 3266.28 	 	 	 9.22228 
2.1 	 	 5612.83 	 	 	 6.76241 
2.1 	 	 15769.8 	 	 	 158.856 
2.1 	 	 10505.4 	 	 	 17.9438 
2.1 	 	 6815.31 	 	 	 4.62083 
2.1 	 	 15769.8 	 	 	 93.5074 
2.1 	 	 3622.47 	 	 	 10.0691 
2.1 	 	 8851.92 	 	 	 12.3336 
2.1 	 	 11348.4 	 	 	 10.915 
2.1 	 	 4298.12 	 	 	 10.1115 
2.1 	 	 10673 	 	 	 13.0983 
2.1 	 	 15769.8 	 	 	 124.125 
2.1 	 	 5654.27 	 	 	 10.2295 
2.1 	 	 19438.1 	 	 	 161.413 
2.1 	 	 7264.41 	 	 	 10.1617 
2.1 	 	 4288.93 	 	 	 10.0205 
2.1 	 	 18713.2 	 	 	 142.909 
2.1 	 	 17516.2 	 	 	 56.4057 
2.1 	 	 19438.1 	 	 	 239.665 
2.1 	 	 9330.23 	 	 	 12.0094 
2.1 	 	 11458.5 	 	 	 10.9373 
2.1 	 	 5421.06 	 	 	 10.3218 
2.1 	 	 8724.94 	 	 	 14.3302 
2.1 	 	 9790.59 	 	 	 18.0521 
2.1 	 	 3759.51 	 	 	 1.25801 
2.1 	 	 12357.3 	 	 	 12.2158 
2.1 	 	 18713.2 	 	 	 72.3362 
2.1 	 	 18078.5 	 	 	 66.0419 
2.1 	 	 10425.1 	 	 	 14.9835 
2.1 	 	 11941.3 	 	 	 15.0398 
2.1 	 	 11040.2 	 	 	 17.6477 
2.1 	 	 13381.1 	 	 	 17.2686 
2.1 	 	 7083.49 	 	 	 11.4514 
2.1 	 	 15423.1 	 	 	 133.918 
2.1 	 	 8310.48 	 	 	 10.4389 
2.1 	 	 13381.1 	 	 	 36.3465 
2.1 	 	 8851.92 	 	 	 10.5868 
2.1 	 	 4921.72 	 	 	 10.016 
2.1 	 	 12357.3 	 	 	 25.5579 
2.1 	 	 5105.33 	 	 	 8.47477 
2.1 	 	 5442.82 	 	 	 10.0666 
2.1 	 	 3214.99 	 	 	 0.0425783 
2.1 	 	 6440.11 	 	 	 2.59724 
2.1 	 	 19438.1 	 	 	 229.019 
2.1 	 	 14805.7 	 	 	 58.4818 
2.1 	 	 11572.5 	 	 	 45.4257 
2.1 	 	 6733.83 	 	 	 10.0729 
2.1 	 	 11572.5 	 	 	 22.1351 
2.1 	 	 6360.71 	 	 	 10.6652 
2.1 	 	 5026.72 	 	 	 10.5683 
2.1 	 	 15769.8 	 	 	 28.341 
2.1 	 	 13188.5 	 	 	 47.6365 
2.1 	 	 5105.33 	 	 	 2.3743 
2.1 	 	 14270.2 	 	 	 40.525 
2.1 	 	 6042.95 	 	 	 10.4725 
2.1 	 	 8604.4 	 	 	 10.9338 
2.1 	 	 8724.94 	 	 	 11.9585 
2.1 	 	 7960.12 	 	 	 14.7935 
2.1 	 	 10197 	 	 	 13.2296 
2.1 	 	 3942.05 	 	 	 5.0419 
2.1 	 	 18713.2 	 	 	 347.43 
2.1 	 	 17013.1 	 	 	 93.2336 
2.1 	 	 3827.56 	 	 	 0.00704772 
2.1 	 	 7845.44 	 	 	 16.1232 
2.1 	 	 8895.78 	 	 	 15.235 
2.1 	 	 11242.2 	 	 	 15.2117 
2.1 	 	 4857.61 	 	 	 11.0288 
2.1 	 	 5794.86 	 	 	 10.8768 
2.1 	 	 8489.75 	 	 	 10.0826 
2.1 	 	 4769.18 	 	 	 10.1647 
2.1 	 	 9790.59 	 	 	 13.6775 
2.1 	 	 13584.4 	 	 	 67.4083 
2.1 	 	 8081.21 	 	 	 13.1772 
2.1 	 	 9330.23 	 	 	 13.508 
2.1 	 	 18078.5 	 	 	 260.043 
2.1 	 	 13381.1 	 	 	 10.9215 
2.1 	 	 3339.99 	 	 	 10.042 
2.1 	 	 9226.93 	 	 	 19.9084 
2.1 	 	 4801.07 	 	 	 10.3597 
2.1 	 	 4738.05 	 	 	 11.4572 
2.1 	 	 16559.3 	 	 	 161.213 
2.1 	 	 11139.5 	 	 	 31.0606 
2.1 	 	 18713.2 	 	 	 143.411 
2.1 	 	 13799.5 	 	 	 34.8975 
2.1 	 	 4505.79 	 	 	 4.83449 
2.1 	 	 7008.19 	 	 	 12.2152 
2.1 	 	 11040.2 	 	 	 16.9346 
2.1 	 	 8176.6 	 	 	 11.5518 
2.1 	 	 12074.3 	 	 	 11.2775 
2.1 	 	 8527.34 	 	 	 10.7948 
2.1 	 	 3601.36 	 	 	 0.169755 
2.1 	 	 8081.21 	 	 	 10.0834 
2.1 	 	 3627.41 	 	 	 10.0986 
2.1 	 	 6537.53 	 	 	 10.2001 
2.1 	 	 13381.1 	 	 	 48.5439 
2.1 	 	 11348.4 	 	 	 11.5454 
2.1 	 	 14270.2 	 	 	 86.4681 
2.1 	 	 7243.46 	 	 	 11.505 
2.1 	 	 3624.12 	 	 	 10.0333 
2.1 	 	 5428.27 	 	 	 10.6196 
2.1 	 	 12508.4 	 	 	 23.6247 
2.1 	 	 5949.19 	 	 	 10.7252 
2.1 	 	 15423.1 	 	 	 97.2291 
2.1 	 	 19438.1 	 	 	 259.449 
2.1 	 	 7989.77 	 	 	 10.9627 
2.1 	 	 4616.58 	 	 	 10.3072 
2.1 	 	 18713.2 	 	 	 71.8954 
2.1 	 	 4380.87 	 	 	 0.881475 
2.1 	 	 14270.2 	 	 	 32.7053 
2.1 	 	 9790.59 	 	 	 11.2621 
2.1 	 	 7306.97 	 	 	 10.2109 
2.1 	 	 18713.2 	 	 	 166.838 
2.1 	 	 11572.5 	 	 	 15.3864 
2.1 	 	 5350.77 	 	 	 6.76605 
2.1 	 	 14270.2 	 	 	 43.2565 
2.1 	 	 4113.83 	 	 	 0.418439 
2.1 	 	 7328.6 	 	 	 10.0484 
2.1 	 	 19438.1 	 	 	 26.486 
2.1 	 	 8416.35 	 	 	 10.6403 
2.1 	 	 12357.3 	 	 	 16.6848 
2.1 	 	 5919.1 	 	 	 10.2378 
2.1 	 	 3706.37 	 	 	 1.97625 
2.1 	 	 6119.75 	 	 	 10.7734 
2.1 	 	 7486.89 	 	 	 12.4778 
2.1 	 	 15102.8 	 	 	 48.6131 
2.1 	 	 6765.99 	 	 	 10.749 
2.1 	 	 11941.3 	 	 	 10.0037 
2.1 	 	 4926.78 	 	 	 10.6947 
2.1 	 	 13005.8 	 	 	 71.1334 
2.1 	 	 3493.47 	 	 	 6.22542 
2.1 	 	 19438.1 	 	 	 118.447 
2.1 	 	 15102.8 	 	 	 46.7013 
2.1 	 	 16559.3 	 	 	 188.91 
2.1 	 	 18713.2 	 	 	 113.295 
2.1 	 	 18713.2 	 	 	 129.364 
2.1 	 	 17013.1 	 	 	 37.1329 
2.1 	 	 11813.6 	 	 	 10.9789 
2.1 	 	 7607.99 	 	 	 14.5362 
2.1 	 	 14805.7 	 	 	 68.4075 
2.1 	 	 3189.92 	 	 	 0.227112 
2.1 	 	 8380.51 	 	 	 10.8179 
2.1 	 	 5959.35 	 	 	 10.1393 
2.1 	 	 18713.2 	 	 	 180.667 
2.1 	 	 4004.25 	 	 	 1.60062 
2.1 	 	 3325.48 	 	 	 10.0361 
2.1 	 	 3268.53 	 	 	 0.0769272 
2.1 	 	 6440.11 	 	 	 10.2949 
2.1 	 	 5134.52 	 	 	 4.57527 
2.1 	 	 5277.17 	 	 	 10.0337 
2.1 	 	 3507.96 	 	 	 0.430664 
2.1 	 	 10271 	 	 	 18.6922 
2.1 	 	 15769.8 	 	 	 75.3083 
2.1 	 	 6918.06 	 	 	 14.0116 
2.1 	 	 9919.43 	 	 	 15.7547 
2.1 	 	 6566.38 	 	 	 10.2278 
2.1 	 	 9032.3 	 	 	 11.4903 
2.1 	 	 11941.3 	 	 	 19.5434 
2.1 	 	 5076.74 	 	 	 5.99348 
2.1 	 	 6142.36 	 	 	 11.0271 
2.1 	 	 11040.2 	 	 	 10.7665 
2.1 	 	 11572.5 	 	 	 23.1424 
2.1 	 	 8276.25 	 	 	 10.0613 
2.1 	 	 7930.88 	 	 	 10.018 
2.1 	 	 3174.6 	 	 	 1.81842 
2.1 	 	 12074.3 	 	 	 49.1419 
2.1 	 	 3915.52 	 	 	 2.35604 
2.1 	 	 7064.39 	 	 	 10.5318 
2.1 	 	 8176.6 	 	 	 10.0074 
2.1 	 	 10673 	 	 	 10.9938 
2.1 	 	 3583.84 	 	 	 6.47378 
2.1 	 	 4438.26 	 	 	 8.28832 
2.1 	 	 14270.2 	 	 	 52.0733 
2.1 	 	 3414.9 	 	 	 10.146 
2.1 	 	 4751.3 	 	 	 5.51568 
2.1 	 	 18078.5 	 	 	 318.504 
2.1 	 	 5959.35 	 	 	 10.6702 
2.1 	 	 14805.7 	 	 	 31.9268 
2.1 	 	 10850.9 	 	 	 12.7821 
2.1 	 	 5564.53 	 	 	 10.0298 
2.1 	 	 15423.1 	 	 	 134.937 
2.1 	 	 4947.22 	 	 	 7.09269 
2.1 	 	 8565.56 	 	 	 12.6377 
2.1 	 	 17013.1 	 	 	 200.225 
2.1 	 	 11572.5 	 	 	 33.9384 
2.1 	 	 7008.19 	 	 	 10.8762 
2.1 	 	 14270.2 	 	 	 54.234 
2.1 	 	 10054.7 	 	 	 17.1558 
2.1 	 	 11572.5 	 	 	 29.6123 
2.1 	 	 3717.14 	 	 	 10.1128 
2.1 	 	 5037.68 	 	 	 10.0115 
2.1 	 	 9176.83 	 	 	 11.369 
2.1 	 	 5357.65 	 	 	 0.476873 
2.1 	 	 13188.5 	 	 	 24.324 
2.1 	 	 5270.67 	 	 	 10.0722 
2.1 	 	 9790.59 	 	 	 13.6204 
2.1 	 	 3701.02 	 	 	 2.34341 
2.1 	 	 3883.26 	 	 	 5.64425 
2.1 	 	 5494.85 	 	 	 10.335 
2.1 	 	 18078.5 	 	 	 54.889 
2.1 	 	 8176.6 	 	 	 10.7619 
2.1 	 	 4384.17 	 	 	 1.32834 
2.1 	 	 11813.6 	 	 	 27.0306 
2.1 	 	 4487.65 	 	 	 4.8466 
2.1 	 	 7102.78 	 	 	 11.3533 
2.1 	 	 5785.7 	 	 	 10.0247 
2.1 	 	 8851.92 	 	 	 12.3334 
2.1 	 	 3874.82 	 	 	 10.5688 
2.1 	 	 12508.4 	 	 	 21.6482 
2.1 	 	 4724.94 	 	 	 0.695438 
2.1 	 	 6900.54 	 	 	 4.82946 
2.1 	 	 8851.92 	 	 	 10.2352 
2.1 	 	 5099.57 	 	 	 9.30124 
2.1 	 	 9986.22 	 	 	 14.9553 
2.1 	 	 3432.25 	 	 	 0.0192938 
2.1 	 	 12832 	 	 	 52.0341 
2.1 	 	 7463.5 	 	 	 11.1657 
2.1 	 	 6272.45 	 	 	 10.3734 
2.1 	 	 3599.75 	 	 	 10.0456 
2.1 	 	 13381.1 	 	 	 40.8072 
2.1 	 	 3722.56 	 	 	 10.1259 
2.1 	 	 4387.48 	 	 	 2.86068 
2.1 	 	 15769.8 	 	 	 109.596 
