8640 	 	 84472.8 
25920 	 	 37108.3 
43200 	 	 24477.2 
60480 	 	 18486 
77760 	 	 14942.1 
95040 	 	 12517.8 
112320 	 	 10846.8 
129600 	 	 9583.85 
146880 	 	 8593.89 
164160 	 	 7795.96 
181440 	 	 7122.27 
198720 	 	 6573.66 
216000 	 	 6106.28 
233280 	 	 5703.15 
250560 	 	 5351.74 
267840 	 	 5035.59 
285120 	 	 4762.35 
302400 	 	 4518.25 
319680 	 	 4298.84 
336960 	 	 4100.51 
354240 	 	 3916.45 
371520 	 	 3752.38 
388800 	 	 3602.01 
406080 	 	 3463.66 
423360 	 	 3335.94 
440640 	 	 3215.18 
457920 	 	 3105.49 
475200 	 	 3003.31 
492480 	 	 2907.89 
509760 	 	 2816.74 
527040 	 	 2733.06 
544320 	 	 2654.4 
561600 	 	 2580.29 
578880 	 	 2510.36 
596160 	 	 2442.95 
613440 	 	 2380.44 
630720 	 	 2321.16 
648000 	 	 2264.87 
665280 	 	 2211.34 
682560 	 	 2159.38 
699840 	 	 2110.83 
717120 	 	 2064.5 
734400 	 	 2020.23 
751680 	 	 1977.88 
768960 	 	 1936.56 
786240 	 	 1897.73 
803520 	 	 1860.48 
820800 	 	 1824.71 
838080 	 	 1790.34 
855360 	 	 1756.66 
872640 	 	 1724.87 
889920 	 	 1694.24 
907200 	 	 1664.71 
924480 	 	 1636.23 
941760 	 	 1608.24 
959040 	 	 1581.7 
976320 	 	 1556.05 
993600 	 	 1531.25 
1.01088e+06 	 	 1507.25 
1.02816e+06 	 	 1483.6 
1.04544e+06 	 	 1461.11 
1.06272e+06 	 	 1439.3 
1.08e+06 	 	 1418.16 
1.09728e+06 	 	 1397.65 
1.11456e+06 	 	 1377.4 
1.13184e+06 	 	 1358.08 
1.14912e+06 	 	 1339.31 
1.1664e+06 	 	 1321.06 
1.18368e+06 	 	 1303.32 
1.20096e+06 	 	 1285.77 
1.21824e+06 	 	 1268.99 
1.23552e+06 	 	 1252.65 
1.2528e+06 	 	 1236.75 
1.27008e+06 	 	 1221.25 
1.28736e+06 	 	 1205.89 
